URI,UniqueNumber,UniqueName,Synonym1,Synonym2,TextDefinition,Source,Notes,SuperClass1,SuperClass2,SuperClass3,SuperClass4,SuperClass5,ISO15926-2Entity,Classification1,Classification2,Classification3,Classification4,,"key-1
naming","key-2
references","key-3
source","key-4
classification","key-1
entity",,"Blue
(new)","Yellow
(changed)","Green
(moved)","Red
(deprecated)",,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/94_POUND_SACK,25035,94 POUND SACK,,,,,,PropertyQuantification,,,,,Scale,UOM (SCALE),,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/9-CYLINDER_ENGINE,25033,9-CYLINDER ENGINE,,,A <9-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 9 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABACA_FIBRE,25040,ABACA FIBRE,,,An <ABACA FIBRE> is a <NATURAL FIBRE> made from a species of banana native to the Philippines; also known as manila Hemp,,,NATURAL FIBRE,,,,,ClassOfBiologicalMatter,MATERIAL AND MATTER,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABANDONED,25041,ABANDONED,,,<ABANDONED> is a <INDIVIDUAL WITH A STATUS> that has been deserted or left,,,INDIVIDUAL WITH A STATUS,,,,,Status,PROPERTY AND STATUS,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABANDONED_WELL,25042,ABANDONED WELL,,,An <ABANDONED WELL> is an <ARTEFACT> and a <WELL> with an <ABANDONED> <Status> where all operations has been terminated,,,ABANDONED,ARTEFACT,WELL,,,ClassOfInanimatePhysicalObject,STATIC EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABANDONING,1,ABANDONING,,,"<ABANDONING> is the <Activity> of giving up by leaving, withdrawing, ceasing keep or operate, often because unable to withstand threatening dangers",,,Activity,,,,,ClassOfActivity,ACTIVITY OR EVENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABATING,2,ABATING,,,"<ABATING> is the <Activity> of reducing in value, degree, or intensity",,changed definition,Activity,,,,,ClassOfActivity,ACTIVITY OR EVENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABBREVIATION,25043,ABBREVIATION,,,"A <ABBREVIATION> is a <DESCRIPTION> that is a shortened form of another description, especially for another word",,,DESCRIPTION,,,,,ClassOfClassOfInformationRepresentation,"DEFINITION, DESCRIPTION, IDENTIFICATION",,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABELIAN_GROUP,25044,ABELIAN GROUP,,,"An object is <ABELIAN GROUP> if and only if  it is an <ALGEBRAIC GROUP> and it complies with the following axiom: For each a, b in S, a * b = b * a",,,ALGEBRAIC GROUP,,,,,ClassOfAbstractObject,MISCELLANEOUS,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/ABNORMAL,25046,ABNORMAL,,,"<ABNORMAL> is an <INDIVIDUAL WITH A STATUS>  in a state of being outside the domain of being regular, natural or staying within an accepted standard",,,INDIVIDUAL WITH A STATUS,,,,,Status,PROPERTY AND STATUS,,,,,,,,,,,,,,,,,,,,,
